"프로그램명","설치 버전","제조사","설치일","설치 위치","대략적인 설치용량","32비트·64비트 프로그램 구분"
"¾Ë¾à","v2.5","ESTsecurity Corp.","","C:\Program Files\ESTsoft\ALYac","","64비트"
"AhnLab Safe Transaction","1.18.0.1994","AhnLab, Inc.","2023-06-04","C:\Program Files\AhnLab\Safe Transaction","142.0 MB","64비트"
"AMD Chipset Software","2.17.25.506","Advanced Micro Devices, Inc.","","C:\Program Files (x86)\AMD\Chipset_IODrivers\","46.4 MB","32비트"
"AMD DVR64","1.0.2","Advanced Micro Devices, Inc.","2021-06-05","","101.4 MB","64비트"
"AMD GPIO2 Driver","2.2.0.130","Advanced Micro Devices, Inc.","2021-06-05","C:\AMD\GPIO2 Driver\","777 KB","32비트"
"AMD PSP Driver","4.16.0.0","Advanced Micro Devices, Inc.","2021-06-05","C:\AMD\PSP Driver\","3.2 MB","32비트"
"AMD Ryzen Balanced Driver","6.0.0.9","Advanced Micro Devices, Inc.","2021-06-05","C:\AMD\RyzenPPKG Driver\","233 KB","32비트"
"AMD SBxxx SMBus Driver Alpha","5.12.0.38","Advanced Micro Devices, Inc.","2021-06-05","C:\AMD\SBxxxSMBus Driver\","733 KB","32비트"
"AMD Settings","2021.0617.1956.35892","Advanced Micro Devices, Inc.","2021-06-05","","256.3 MB","64비트"
"AMD SFH I2C Driver","1.0.0.86","Advanced Micro Devices, Inc.","2021-06-05","C:\AMD\SFHI2C Driver\","921 KB","32비트"
"AMD Software","21.6.1","Advanced Micro Devices, Inc.","","C:\Program Files\AMD\CIM\BIN64","305.7 MB","64비트"
"AMD_Chipset_Drivers","2.17.25.506","Advanced Micro Devices, Inc.","2021-06-05","C:\Program Files (x86)\AMD\Chipset_IODrivers\","46.4 MB","32비트"
"AnySign4PC 1.1.4.5","1.1.4.5","HANCOM WITH Inc.","","","","32비트"
"AppProtection","25.7.2000.79","Citrix Systems, Inc.","2026-07-13","","7.2 MB","32비트"
"Branding64","1.00.0006","Advanced Micro Devices, Inc.","2021-06-05","","2.2 MB","64비트"
"CCDNService 2.0.2.8","2.0.2.8","Gvix(주)","","","","32비트"
"Citrix Authentication Manager","25.7.2000.4","Citrix Systems, Inc.","2026-07-13","","16.8 MB","32비트"
"Citrix Browser Content Redirection Plug-in","25.11.1.5","Citrix Systems, Inc.","2026-06-30","","293.0 MB","32비트"
"Citrix Desktop Lock","25.7.2000.9","Citrix Systems, Inc.","2026-07-13","","1.8 MB","32비트"
"Citrix Secure Access Endpoint Analysis","25.11.1.8","Citrix Systems, Inc.","2026-07-13","C:\Program Files\Citrix\Secure Access Client\","63.2 MB","64비트"
"Citrix Web Helper","25.7.2000.11","Citrix Systems, Inc.","2026-07-13","","5.7 MB","32비트"
"Citrix Workspace 2507","25.7.2000.2020","Citrix Systems, Inc.","","C:\PROGRAM FILES (X86)\CITRIX\","541.6 MB","32비트"
"Citrix Workspace Inside","25.7.2000.9","Citrix Systems, Inc.","2026-06-30","","109.9 MB","32비트"
"Citrix Workspace(DV)","25.7.2000.6","Citrix Systems, Inc.","2026-07-13","C:\Program Files (x86)\Citrix\ICA Client\","54.4 MB","32비트"
"Citrix Workspace(SSON)","25.7.2000.9","Citrix Systems, Inc.","2026-07-13","","1.4 MB","32비트"
"Citrix Workspace(USB)","25.7.2000.6","Citrix Systems, Inc.","2026-07-13","C:\Program Files (x86)\Citrix\ICA Client\","1.9 MB","32비트"
"Claude","1.22209.0","Anthropic PBC","2026-07-17","C:\Users\chang.JWS\AppData\Local\AnthropicClaude","217.6 MB","미확인"
"Cursor (User)","3.12.17","Anysphere","2026-07-18","C:\Users\chang.JWS\AppData\Local\Programs\cursor\","1,119.3 MB","미확인"
"Delfino G3 (x86) 버전 3.7.1.0","3.7.1.0","Wizvera","2026-03-04","C:\Program Files (x86)\Wizvera\Delfino-G3\","43.4 MB","32비트"
"deviceTRUST ICA Client Extension x64 2511","25.11.24.0","Citrix Systems, Inc.","2026-07-13","","27.7 MB","64비트"
"deviceTRUST ICA Client Extension x86 2511","25.11.24.0","Citrix Systems, Inc.","2026-07-13","","10.5 MB","32비트"
"Docker Desktop","4.82.0","Docker Inc.","","C:\Program Files\Docker\Docker","3,389.9 MB","64비트"
"DocuPrint CM225_228 fw","1.027.00","Fuji Xerox","2023-03-23","C:\Program Files (x86)\Fuji Xerox\","34.2 MB","32비트"
"Eclipse Temurin JDK with Hotspot 17.0.19+10 (x64)","17.0.19.10","Eclipse Adoptium","2026-06-11","C:\Program Files\Eclipse Adoptium\jdk-17.0.19.10-hotspot\","304.0 MB","64비트"
"Erlang OTP 27.0.1 (15.0.1)","27.0.1","Ericsson AB","","","","32비트"
"Everything (Windy 필수 프로그램)","1.4.1.1022","voidtools","","C:\Program Files (x86)\Everything","3.0 MB","32비트"
"ezPDFReader 2.0G","2.0G","Unidocs, Inc.","","","","32비트"
"Fast Duplicate File Finder 4.7.0.1","4.7.0.1","MindGems, Inc.","2026-07-12","C:\Program Files (x86)\Fast Duplicate File Finder\","8.1 MB","32비트"
"Git","2.46.0","The Git Development Community","2024-08-21","C:\Program Files\Git\","339.5 MB","64비트"
"Google Chrome","150.0.7871.127","Google LLC","2026-07-17","C:\Program Files\Google\Chrome\Application","473.5 MB","32비트"
"GrafanaEnterprise","11.1.4.0","Grafana Labs","2024-08-26","","700.4 MB","64비트"
"HD Tune Pro 5.75","","EFD Software","2024-02-06","C:\Program Files (x86)\HD Tune Pro\","4.3 MB","32비트"
"HTTPS Connect SecureConnection","3.3","Secure Connection, Inc.","","C:\ProgramData\secureconnection\","","32비트"
"iniLINE CrossEX Service","1.0.2.18","iniLINE Co., Ltd.","","","","미확인"
"INISAFE CrossWeb EX V3","3.4.1.14","Initech, Inc.","2025-10-04","C:\Program Files (x86)\INITECH\INISAFE Web EX Client","","32비트"
"IntelliJ IDEA Community Edition 2024.2.0.2","242.20224.419","JetBrains s.r.o.","","C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2024.2.0.2","","32비트"
"IPinside LWS Agent","3.0.0.26","interezen","","","","32비트"
"KeySharp biz v2.2 For 32bit","2.2.0.3192","RaonSecure Co., Ltd.","","","6.3 MB","32비트"
"KeySharp CertRelay","2.1.0.25","RaonSecure Co., Ltd.","","","10.9 MB","32비트"
"LAV Filters 0.80","0.80","Hendrik Leppkes","2025-10-14","C:\Program Files (x86)\LAV Filters\","50.8 MB","32비트"
"LibreOffice 26.2.3.2","26.2.3.2","The Document Foundation","2026-05-26","C:\Program Files\LibreOffice\","791.0 MB","64비트"
"Logi Download Assistant","2.0.529","Logitech","","","","32비트"
"MagicLine4NX","1.0.0.32","Dreamsecurity, Inc.","","","16.4 MB","32비트"
"MariaDB 11.5 (x64)","11.5.2.0","MariaDB Corporation Ab","","C:\Programming(23-08-15)\MariaDB\","","64비트"
"MarkAny EPSBroker","2.5.0.43","MarkAny Inc.","","","","64비트"
"MarkAny EPSBrokerIros","2.5.0.49","MarkAny Inc.","","","","64비트"
"MarkAny Inc. e-PageSafer V2.5 NoAX ( iros )_2.5.1.21","v2.5","MarkAny Inc.","","","","32비트"
"MarkAny Inc. e-PageSafer v2.5 NoaXOZ(Uninstall)","v2.5","MarkAny Inc.","","","","32비트"
"Microsoft .NET Host - 6.0.20 (x86)","48.83.63169","Microsoft Corporation","2023-10-18","","372 KB","32비트"
"Microsoft .NET Host - 8.0.14 (x64)","64.56.29490","Microsoft Corporation","2026-04-16","","484 KB","64비트"
"Microsoft .NET Host - 8.0.16 (x86)","64.64.32758","Microsoft Corporation","2025-10-15","","444 KB","32비트"
"Microsoft .NET Host FX Resolver - 6.0.20 (x86)","48.83.63169","Microsoft Corporation","2023-10-18","","284 KB","32비트"
"Microsoft .NET Host FX Resolver - 8.0.14 (x64)","64.56.29490","Microsoft Corporation","2026-04-16","","324 KB","64비트"
"Microsoft .NET Host FX Resolver - 8.0.16 (x86)","64.64.32758","Microsoft Corporation","2025-10-15","","268 KB","32비트"
"Microsoft .NET Runtime - 6.0.20 (x86)","48.83.63169","Microsoft Corporation","2023-10-18","","62.2 MB","32비트"
"Microsoft .NET Runtime - 8.0.14 (x64)","64.56.29490","Microsoft Corporation","2026-04-16","","70.2 MB","64비트"
"Microsoft .NET Runtime - 8.0.16 (x86)","64.64.32758","Microsoft Corporation","2025-10-15","","64.8 MB","32비트"
"Microsoft Access MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","11.8 MB","64비트"
"Microsoft DCF MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","418 KB","64비트"
"Microsoft Edge","150.0.4078.83","Microsoft Corporation","2026-07-19","C:\Program Files (x86)\Microsoft\Edge\Application","2,036.7 MB","32비트"
"Microsoft Edge WebView2 Runtime","150.0.4078.65","Microsoft Corporation","2026-07-12","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","3,360.4 MB","32비트"
"Microsoft Excel MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","27.1 MB","64비트"
"Microsoft Groove MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","8.6 MB","64비트"
"Microsoft InfoPath MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","2.9 MB","64비트"
"Microsoft Office 32-bit Components 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","144.6 MB","64비트"
"Microsoft Office IME (Korean) 2007","12.0.4518.1014","Microsoft Corporation","2023-04-19","C:\Program Files (x86)\Microsoft Office\","940 KB","32비트"
"Microsoft Office Office 64-bit Components 2007","12.0.4518.1014","Microsoft Corporation","2023-04-19","C:\Program Files (x86)\Microsoft Office\","12.5 MB","32비트"
"Microsoft Office OSM MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","1.5 MB","64비트"
"Microsoft Office OSM UX MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","8.2 MB","64비트"
"Microsoft Office Professional Plus 2016","16.0.4266.1001","Microsoft Corporation","","C:\Program Files\Microsoft Office","","64비트"
"Microsoft Office Proof (English) 2007","12.0.4518.1014","Microsoft Corporation","2023-04-19","C:\Program Files (x86)\Microsoft Office\","41.3 MB","32비트"
"Microsoft Office Proof (Korean) 2007","12.0.4518.1014","Microsoft Corporation","2023-04-19","C:\Program Files (x86)\Microsoft Office\","23.7 MB","32비트"
"Microsoft Office Proofing (Korean) 2007","12.0.4518.1016","Microsoft Corporation","2023-04-19","C:\Program Files (x86)\Microsoft Office\","494 KB","32비트"
"Microsoft Office Proofing (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","1.3 MB","64비트"
"Microsoft Office Proofing Tools 2016 - English","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","21.4 MB","64비트"
"Microsoft Office Shared 32-bit MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","15.0 MB","64비트"
"Microsoft Office Shared 64-bit MUI (Korean) 2007","12.0.4518.1016","Microsoft Corporation","2023-04-19","C:\Program Files (x86)\Microsoft Office\","504 KB","32비트"
"Microsoft Office Shared MUI (Korean) 2007","12.0.4518.1016","Microsoft Corporation","2023-04-19","C:\Program Files (x86)\Microsoft Office\","97.6 MB","32비트"
"Microsoft Office Shared MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","94.2 MB","64비트"
"Microsoft Office Visio MUI (Korean) 2007","12.0.4518.1016","Microsoft Corporation","2023-04-19","C:\Program Files (x86)\Microsoft Office\","62.4 MB","32비트"
"Microsoft Office Visio Professional 2007","12.0.4518.1014","Microsoft Corporation","","C:\Program Files (x86)\Microsoft Office","","32비트"
"Microsoft Office 언어 교정 도구 2016 - 한국어","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","24.9 MB","64비트"
"Microsoft OneDrive","26.113.0614.0004","Microsoft Corporation","","","566.5 MB","미확인"
"Microsoft OneNote MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","12.6 MB","64비트"
"Microsoft Outlook MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","14.9 MB","64비트"
"Microsoft PowerPoint MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","22.7 MB","64비트"
"Microsoft Publisher MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","10.1 MB","64비트"
"Microsoft Skype for Business MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","5.1 MB","64비트"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.14501","Microsoft","2024-07-22","","31.1 MB","64비트"
"Microsoft Teams VDI Citrix plugin","26.15.1.1","Microsoft","2026-06-29","","2.5 MB","32비트"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","2023-11-04","","1.0 MB","64비트"
"Microsoft Visual C++ 2005 Redistributable","8.0.59193","Microsoft Corporation","2023-08-23","","4.9 MB","32비트"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","2023-03-24","","13.2 MB","64비트"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729","9.0.30729","Microsoft Corporation","2023-03-23","","10.3 MB","32비트"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0","Microsoft Corporation","","","17.4 MB","32비트"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","2023-08-16","","9.7 MB","32비트"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","2023-08-16","","1.7 MB","32비트"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005","12.0.21005.1","Microsoft Corporation","","","17.2 MB","32비트"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","2025-10-11","","9.2 MB","32비트"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","2025-10-11","","2.0 MB","32비트"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34433","14.42.34433.0","Microsoft Corporation","","","20.7 MB","32비트"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34433","14.42.34433.0","Microsoft Corporation","","","18.2 MB","32비트"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.42.34433","14.42.34433","Microsoft Corporation","2025-05-28","","11.6 MB","64비트"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34433","14.42.34433","Microsoft Corporation","2025-05-28","","2.3 MB","64비트"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.42.34433","14.42.34433","Microsoft Corporation","2025-05-28","","10.1 MB","32비트"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.42.34433","14.42.34433","Microsoft Corporation","2025-05-28","","1.9 MB","32비트"
"Microsoft Visual Studio Code (User)","1.129.1","Microsoft Corporation","2026-07-19","C:\Users\chang.JWS\AppData\Local\Programs\Microsoft VS Code\","921.0 MB","미확인"
"Microsoft Windows Desktop Runtime - 6.0.20 (x86)","48.83.63194","Microsoft Corporation","2023-10-18","","81.6 MB","32비트"
"Microsoft Windows Desktop Runtime - 6.0.20 (x86)","6.0.20.32621","Microsoft Corporation","","","194.3 MB","32비트"
"Microsoft Windows Desktop Runtime - 8.0.14 (x64)","64.56.29521","Microsoft Corporation","2026-04-16","","89.9 MB","64비트"
"Microsoft Windows Desktop Runtime - 8.0.14 (x64)","8.0.14.34613","Microsoft Corporation","","","217.0 MB","32비트"
"Microsoft Windows Desktop Runtime - 8.0.16 (x86)","64.64.32786","Microsoft Corporation","2025-10-15","","84.7 MB","32비트"
"Microsoft Windows Desktop Runtime - 8.0.16 (x86)","8.0.16.34817","Microsoft Corporation","","","201.7 MB","32비트"
"Microsoft Word MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","2023-03-23","C:\Program Files\Microsoft Office\","29.4 MB","64비트"
"MTOP Client","25.7.2000.6","Citrix Systems, Inc.","2026-07-13","","32.6 MB","32비트"
"Node.js","24.12.0","Node.js Foundation","2026-01-04","","102.7 MB","64비트"
"Notepad++ (64-bit x64)","8.7.7","Notepad++ Team","","","17.1 MB","64비트"
"nProtect Online Security V1.0(PFS)","2023.8.21.1","INCA Internet Co., Ltd.","","","","32비트"
"Online Plug-in","25.7.2000.6","Citrix Systems, Inc.","2026-06-30","","336.3 MB","32비트"
"Oracle VM VirtualBox 7.0.18","7.0.18","Oracle and/or its affiliates","2024-09-01","","209.6 MB","64비트"
"OZWebLauncher","80.23.0830.100","FORCS Co.,LTD.","2026-05-03","C:\Program Files (x86)\FORCS\OZWebLauncher","","32비트"
"PortBook","1.0.7.65","Topstore","2025-03-30","C:\Users\chang\AppData\Roaming\Purefind\","777 KB","32비트"
"Postman Agent x86_64 0.4.31","0.4.31","Postman","2024-08-26","C:\Users\chang.JWS\AppData\Local\Postman-Agent","96.6 MB","미확인"
"PowerToys (Preview)","0.83.0","Microsoft Corporation","2024-08-26","C:\Users\chang.JWS\AppData\Local\PowerToys\","1,300.1 MB","64비트"
"PowerToys (Preview) x64","0.83.0","Microsoft Corporation","","","907.4 MB","미확인"
"RateCheck","1.0.0","RateCheck System","","","","32비트"
"Realtek High Definition Audio Driver","6.0.9167.1","Realtek Semiconductor Corp.","","C:\Program Files\Realtek\Audio\HDA","","32비트"
"Rexpert30 Print Service 1,0,0,29 - 01","1,0,0,29 - 01","ClipSoft","","","","32비트"
"RyzenMasterSDK","1.2.3.5","Advanced Micro Devices, Inc.","2021-06-05","","704 KB","64비트"
"SecuKit NX","1.0.0.8","한국정보인증(주)","","","","64비트"
"Self-service Plug-in","25.7.2000.11","Citrix Systems, Inc.","2026-07-13","","104.1 MB","32비트"
"SignKorea NA Certification Toolkit(인증 프로그램)","2.5.40.281","코스콤","","","","32비트"
"SManager 2.0.1.1","","","2026-03-22","C:\Program Files (x86)\SManager\","6.5 MB","32비트"
"Smart Windows Favorite","2.5","Smart Windows Favorite, Inc.","","C:\Users\chang.JWS\AppData\Roaming\winfavorites\","","미확인"
"Termius 9.6.1","9.6.1","Termius Corporation","","","702.9 MB","미확인"
"TouchEn nxKey with E2E for 32bit","1.0.0.90","RaonSecure Co., Ltd.","","","16.0 MB","32비트"
"Tple Download","","Tple Korea","","","","32비트"
"TplePlayer 버전 1.5.1.3","1.5.1.3","iCoxs.co.kr","2026-03-22","C:\Users\chang.JWS\AppData\Roaming\TplePlayer\","134.6 MB","32비트"
"TPLSvc","1.1.0.31","TOBESOFT Co., Ltd.","2023-08-23","C:\Program Files (x86)\TPLSvc\","7.7 MB","32비트"
"Vagrant","2.4.1","HashiCorp","2024-07-31","","1,017.4 MB","64비트"
"Veraport(보안모듈 관리 프로그램) G3 - 3,8,6,9 - x64","3,8,6,9","Wizvera","2026-05-03","C:\Program Files\Wizvera\Veraport20\","49.3 MB","64비트"
"VestCert","2.5.30.95","㈜예티소프트","","","","32비트"
"Windows Subsystem for Linux","2.2.4.0","Microsoft Corporation","2024-07-31","","460.1 MB","64비트"
"WIZVERA Process Manager 1,0,6,1","1,0,6,1","WIZVERA","2026-05-03","C:\Program Files (x86)\Wizvera\Common\wpmsvc\","11.0 MB","32비트"
"XPLATFORM 9.2 Engine","9.2.0.72","TOBESOFT Co,.Ltd","","C:\Program Files (x86)\TOBESOFT\XPLATFORM\9.2","","32비트"
"Zoom VDI Plugin Management(64bit)","6.6.26970","Zoom Communications, Inc.","2026-06-29","","81.2 MB","64비트"
"곰플레이어","2.3.117.5387","GOM & Company","","C:\Program Files (x86)\GOM\GOMPlayer","","32비트"
"민원24 민원발급프로그램 5.0","5.0.0.3","SGA Solutions Co.,Ltd.","2025-07-05","C:\Program Files (x86)\SGA\ezCertForClient\","38.3 MB","32비트"
"알PDF 4.10","4.10","ESTsoft Corp.","2026-05-26","C:\Program Files\ESTsoft\ALPDF\","401.4 MB","64비트"
"알매니저","1.16","ESTsoft Corp.","2023-08-15","C:\Program Files (x86)\ESTsoft\ALToolsManager\","40.1 MB","32비트"
"알씨 9.54","9.54","ESTsoft Corp.","2026-05-16","C:\Program Files (x86)\ESTsoft\ALSee\","340.1 MB","32비트"
"알집 12.36","12.36","ESTsoft Corp.","2026-06-11","C:\Program Files (x86)\ESTsoft\ALZip\","37.9 MB","32비트"
"알툴즈 업데이트","","ESTsoft Corp.","","C:\Program Files (x86)\ESTsoft\ALUpdate","","32비트"
"카카오톡","26.6.0.5208","Kakao Corp.","","","","32비트"
"한컴오피스 2020 체험판","11.0.0.1","Hancom","2025-10-11","C:\Program Files (x86)\Hnc\Office 2020\","1,874.2 MB","32비트"
"확장된 브라우저 컨트롤러","","Gvix Co.,Ltd","","","","32비트"
"휴대폰인증서(보관)서비스","","INFovine","","","","32비트"
